Obs,ICD10,ICD10 Label,Code Valid in FY2016 (10/1/15 - 9/30/16),"FY2015 MCE Age Condition [use AGE_AT_ DIAGNOSIS]",FY2015 MCE Sex Condition,"CC Age Split  [use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote
1237,C8599,"Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites",Y,,,,,10,,
1238,C860,"Extranodal NK/T-cell lymphoma, nasal type",Y,,,,,10,,
1239,C861,Hepatosplenic T-cell lymphoma,Y,,,,,10,,
1240,C862,Enteropathy-type (intestinal) T-cell lymphoma,Y,,,,,10,,
1241,C863,Subcutaneous panniculitis-like T-cell lymphoma,Y,,,,,10,,
1242,C864,Blastic NK-cell lymphoma,Y,,,,,10,,
1243,C865,Angioimmunoblastic T-cell lymphoma,Y,,,,,10,,
1244,C866,Primary cutaneous CD30-positive T-cell proliferations,Y,,,,,10,,
1245,C880,Waldenstrom macroglobulinemia,Y,,,,,10,,
1246,C882,Heavy chain disease,Y,,,,,10,,
1247,C883,Immunoproliferative small intestinal disease,Y,,,,,10,,
1248,C884,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],Y,,,,,10,,
1249,C888,Other malignant immunoproliferative diseases,Y,,,,,10,,
1250,C889,"Malignant immunoproliferative disease, unspecified",Y,,,,,10,,
1251,C9000,Multiple myeloma not having achieved remission,Y,,,,,9,,
1252,C9001,Multiple myeloma in remission,Y,,,,,9,,
1253,C9002,Multiple myeloma in relapse,Y,,,,,9,,
1254,C9010,Plasma cell leukemia not having achieved remission,Y,,,,,9,,
1255,C9011,Plasma cell leukemia in remission,Y,,,,,9,,
1256,C9012,Plasma cell leukemia in relapse,Y,,,,,9,,
1257,C9020,Extramedullary plasmacytoma not having achieved remission,Y,,,,,9,,
1258,C9021,Extramedullary plasmacytoma in remission,Y,,,,,9,,
1259,C9022,Extramedullary plasmacytoma in relapse,Y,,,,,9,,
1260,C9030,Solitary plasmacytoma not having achieved remission,Y,,,,,10,,
1261,C9031,Solitary plasmacytoma in remission,Y,,,,,10,,
1262,C9032,Solitary plasmacytoma in relapse,Y,,,,,10,,
1263,C9100,Acute lymphoblastic leukemia not having achieved remission,Y,,,age >= 18,,8,,
1264,C9100,Acute lymphoblastic leukemia not having achieved remission,Y,,,age < 18,,9,,
1265,C9101,"Acute lymphoblastic leukemia, in remission",Y,,,age >= 18,,8,,
1266,C9101,"Acute lymphoblastic leukemia, in remission",Y,,,age < 18,,9,,
1267,C9102,"Acute lymphoblastic leukemia, in relapse",Y,,,age >= 18,,8,,
1268,C9102,"Acute lymphoblastic leukemia, in relapse",Y,,,age < 18,,9,,
1269,C9110,Chronic lymphocytic leukemia of B-cell type not having achieved remission,Y,,,,,10,,
1270,C9111,Chronic lymphocytic leukemia of B-cell type in remission,Y,,,,,10,,
1271,C9112,Chronic lymphocytic leukemia of B-cell type in relapse,Y,,,,,10,,
1272,C9130,Prolymphocytic leukemia of B-cell type not having achieved remission,Y,,,,,10,,
1273,C9131,"Prolymphocytic leukemia of B-cell type, in remission",Y,,,,,10,,
1274,C9132,"Prolymphocytic leukemia of B-cell type, in relapse",Y,,,,,10,,
1275,C9140,Hairy cell leukemia not having achieved remission,Y,,,,,10,,
1276,C9141,"Hairy cell leukemia, in remission",Y,,,,,10,,
1277,C9142,"Hairy cell leukemia, in relapse",Y,,,,,10,,
1278,C9150,Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,Y,age >=15,,,,10,,
1279,C9151,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission",Y,age >=15,,,,10,,
1280,C9152,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse",Y,age >=15,,,,10,,
1281,C9160,Prolymphocytic leukemia of T-cell type not having achieved remission,Y,,,,,10,,
1282,C9161,"Prolymphocytic leukemia of T-cell type, in remission",Y,,,,,10,,
1283,C9162,"Prolymphocytic leukemia of T-cell type, in relapse",Y,,,,,10,,
1284,C9190,"Lymphoid leukemia, unspecified not having achieved remission",Y,,,,,10,,
1285,C9191,"Lymphoid leukemia, unspecified, in remission",Y,,,,,10,,
1286,C9192,"Lymphoid leukemia, unspecified, in relapse",Y,,,,,10,,
1287,C91A0,Mature B-cell leukemia Burkitt-type not having achieved remission,Y,,,,,10,,
1288,C91A1,"Mature B-cell leukemia Burkitt-type, in remission",Y,,,,,10,,
1289,C91A2,"Mature B-cell leukemia Burkitt-type, in relapse",Y,,,,,10,,
1290,C91Z0,Other lymphoid leukemia not having achieved remission,Y,,,,,10,,
1291,C91Z1,"Other lymphoid leukemia, in remission",Y,,,,,10,,
1292,C91Z2,"Other lymphoid leukemia, in relapse",Y,,,,,10,,
1293,C9200,"Acute myeloblastic leukemia, not having achieved remission",Y,,,,,8,,
1294,C9201,"Acute myeloblastic leukemia, in remission",Y,,,,,8,,
1295,C9202,"Acute myeloblastic leukemia, in relapse",Y,,,,,8,,
1296,C9210,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",Y,,,,,9,,
1297,C9211,"Chronic myeloid leukemia, BCR/ABL-positive, in remission",Y,,,,,9,,
1298,C9212,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse",Y,,,,,9,,
1299,C9220,"Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",Y,,,,,9,,
1300,C9221,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission",Y,,,,,9,,
1301,C9222,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse",Y,,,,,9,,
1302,C9230,"Myeloid sarcoma, not having achieved remission",Y,,,,,9,,
1303,C9231,"Myeloid sarcoma, in remission",Y,,,,,9,,
1304,C9232,"Myeloid sarcoma, in relapse",Y,,,,,9,,
1305,C9240,"Acute promyelocytic leukemia, not having achieved remission",Y,,,,,8,,
1306,C9241,"Acute promyelocytic leukemia, in remission",Y,,,,,8,,
1307,C9242,"Acute promyelocytic leukemia, in relapse",Y,,,,,8,,
1308,C9250,"Acute myelomonocytic leukemia, not having achieved remission",Y,,,,,8,,
1309,C9251,"Acute myelomonocytic leukemia, in remission",Y,,,,,8,,
1310,C9252,"Acute myelomonocytic leukemia, in relapse",Y,,,,,8,,
1311,C9260,Acute myeloid leukemia with 11q23-abnormality not having achieved remission,Y,,,,,8,,
1312,C9261,Acute myeloid leukemia with 11q23-abnormality in remission,Y,,,,,8,,
1313,C9262,Acute myeloid leukemia with 11q23-abnormality in relapse,Y,,,,,8,,
1314,C9290,"Myeloid leukemia, unspecified, not having achieved remission",Y,,,,,9,,
1315,C9291,"Myeloid leukemia, unspecified in remission",Y,,,,,9,,
1316,C9292,"Myeloid leukemia, unspecified in relapse",Y,,,,,9,,
1317,C92A0,"Acute myeloid leukemia with multilineage dysplasia, not having achieved remission",Y,,,,,8,,
1318,C92A1,"Acute myeloid leukemia with multilineage dysplasia, in remission",Y,,,,,8,,
1319,C92A2,"Acute myeloid leukemia with multilineage dysplasia, in relapse",Y,,,,,8,,
1320,C92Z0,Other myeloid leukemia not having achieved remission,Y,,,,,9,,
1321,C92Z1,"Other myeloid leukemia, in remission",Y,,,,,9,,
1322,C92Z2,"Other myeloid leukemia, in relapse",Y,,,,,9,,
1323,C9300,"Acute monoblastic/monocytic leukemia, not having achieved remission",Y,,,,,8,,
1324,C9301,"Acute monoblastic/monocytic leukemia, in remission",Y,,,,,8,,
1325,C9302,"Acute monoblastic/monocytic leukemia, in relapse",Y,,,,,8,,
1326,C9310,Chronic myelomonocytic leukemia not having achieved remission,Y,,,,,9,,
1327,C9311,"Chronic myelomonocytic leukemia, in remission",Y,,,,,9,,
1328,C9312,"Chronic myelomonocytic leukemia, in relapse",Y,,,,,9,,
1329,C9330,"Juvenile myelomonocytic leukemia, not having achieved remission",Y,0 <= age <= 17,,,,9,,
1330,C9331,"Juvenile myelomonocytic leukemia, in remission",Y,0 <= age <= 17,,,,9,,
1331,C9332,"Juvenile myelomonocytic leukemia, in relapse",Y,0 <= age <= 17,,,,9,,
1332,C9390,"Monocytic leukemia, unspecified, not having achieved remission",Y,,,,,9,,
1333,C9391,"Monocytic leukemia, unspecified in remission",Y,,,,,9,,
1334,C9392,"Monocytic leukemia, unspecified in relapse",Y,,,,,9,,
1335,C93Z0,"Other monocytic leukemia, not having achieved remission",Y,,,,,9,,
1336,C93Z1,"Other monocytic leukemia, in remission",Y,,,,,9,,
1337,C93Z2,"Other monocytic leukemia, in relapse",Y,,,,,9,,
1338,C9400,"Acute erythroid leukemia, not having achieved remission",Y,,,,,8,,
1339,C9401,"Acute erythroid leukemia, in remission",Y,,,,,8,,
1340,C9402,"Acute erythroid leukemia, in relapse",Y,,,,,8,,
1341,C9420,Acute megakaryoblastic leukemia not having achieved remission,Y,,,,,8,,
1342,C9421,"Acute megakaryoblastic leukemia, in remission",Y,,,,,8,,
1343,C9422,"Acute megakaryoblastic leukemia, in relapse",Y,,,,,8,,
1344,C9430,Mast cell leukemia not having achieved remission,Y,,,,,9,,
1345,C9431,"Mast cell leukemia, in remission",Y,,,,,9,,
1346,C9432,"Mast cell leukemia, in relapse",Y,,,,,9,,
1347,C9440,Acute panmyelosis with myelofibrosis not having achieved remission,Y,,,,,8,,
1348,C9441,"Acute panmyelosis with myelofibrosis, in remission",Y,,,,,8,,
1349,C9442,"Acute panmyelosis with myelofibrosis, in relapse",Y,,,,,8,,
1350,C946,"Myelodysplastic disease, not classified",Y,,,,,75,,
1351,C9480,Other specified leukemias not having achieved remission,Y,,,,,9,,
1352,C9481,"Other specified leukemias, in remission",Y,,,,,9,,
1353,C9482,"Other specified leukemias, in relapse",Y,,,,,9,,
1354,C9500,Acute leukemia of unspecified cell type not having achieved remission,Y,,,age >= 18,,8,,
1355,C9500,Acute leukemia of unspecified cell type not having achieved remission,Y,,,age < 18,,9,,
1356,C9501,"Acute leukemia of unspecified cell type, in remission",Y,,,age >= 18,,8,,
1357,C9501,"Acute leukemia of unspecified cell type, in remission",Y,,,age < 18,,9,,
1358,C9502,"Acute leukemia of unspecified cell type, in relapse",Y,,,age >= 18,,8,,
1359,C9502,"Acute leukemia of unspecified cell type, in relapse",Y,,,age < 18,,9,,
1360,C9510,Chronic leukemia of unspecified cell type not having achieved remission,Y,,,,,10,,
1361,C9511,"Chronic leukemia of unspecified cell type, in remission",Y,,,,,10,,
1362,C9512,"Chronic leukemia of unspecified cell type, in relapse",Y,,,,,10,,
1363,C9590,"Leukemia, unspecified not having achieved remission",Y,,,,,10,,
1364,C9591,"Leukemia, unspecified, in remission",Y,,,,,10,,
1365,C9592,"Leukemia, unspecified, in relapse",Y,,,,,10,,
1366,C960,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,Y,,,,,10,,
1367,C962,Malignant mast cell tumor,Y,,,,,10,,
1368,C964,Sarcoma of dendritic cells (accessory cells),Y,,,,,10,,
1369,C965,Multifocal and unisystemic Langerhans-cell histiocytosis,Y,,,,,10,,
1370,C966,Unifocal Langerhans-cell histiocytosis,Y,,,,,10,,
1371,C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",Y,,,,,10,,
1372,C96A,Histiocytic sarcoma,Y,,,,,10,,
1373,C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",Y,,,,,10,,
1374,D030,Melanoma in situ of lip,Y,,,,,13,,
1375,D0310,"Melanoma in situ of unspecified eyelid, including canthus",Y,,,,,13,,
1376,D0311,"Melanoma in situ of right eyelid, including canthus",Y,,,,,13,,
1377,D0312,"Melanoma in situ of left eyelid, including canthus",Y,,,,,13,,
1378,D0320,Melanoma in situ of unspecified ear and external auricular canal,Y,,,,,13,,
1379,D0321,Melanoma in situ of right ear and external auricular canal,Y,,,,,13,,
1380,D0322,Melanoma in situ of left ear and external auricular canal,Y,,,,,13,,
1381,D0330,Melanoma in situ of unspecified part of face,Y,,,,,13,,
1382,D0339,Melanoma in situ of other parts of face,Y,,,,,13,,
1383,D034,Melanoma in situ of scalp and neck,Y,,,,,13,,
1384,D0351,Melanoma in situ of anal skin,Y,,,,,13,,
1385,D0352,Melanoma in situ of breast (skin) (soft tissue),Y,,,,,13,,
1386,D0359,Melanoma in situ of other part of trunk,Y,,,,,13,,
1387,D0360,"Melanoma in situ of unspecified upper limb, including shoulder",Y,,,,,13,,
1388,D0361,"Melanoma in situ of right upper limb, including shoulder",Y,,,,,13,,
1389,D0362,"Melanoma in situ of left upper limb, including shoulder",Y,,,,,13,,
1390,D0370,"Melanoma in situ of unspecified lower limb, including hip",Y,,,,,13,,
1391,D0371,"Melanoma in situ of right lower limb, including hip",Y,,,,,13,,
1392,D0372,"Melanoma in situ of left lower limb, including hip",Y,,,,,13,,
1393,D038,Melanoma in situ of other sites,Y,,,,,13,,
1394,D039,"Melanoma in situ, unspecified",Y,,,,,13,,
1395,D151,Benign neoplasm of heart,Y,,,,,10,,
1396,D1802,Hemangioma of intracranial structures,Y,,,,,12,,
1397,D320,Benign neoplasm of cerebral meninges,Y,,,,,12,,
1398,D321,Benign neoplasm of spinal meninges,Y,,,,,12,,
1399,D329,"Benign neoplasm of meninges, unspecified",Y,,,,,12,,
1400,D330,"Benign neoplasm of brain, supratentorial",Y,,,,,12,,
1401,D331,"Benign neoplasm of brain, infratentorial",Y,,,,,12,,
1402,D332,"Benign neoplasm of brain, unspecified",Y,,,,,12,,
1403,D333,Benign neoplasm of cranial nerves,Y,,,,,12,,
1404,D334,Benign neoplasm of spinal cord,Y,,,,,12,,
1405,D337,Benign neoplasm of other specified parts of central nervous system,Y,,,,,12,,
1406,D339,"Benign neoplasm of central nervous system, unspecified",Y,,,,,12,,
1407,D352,Benign neoplasm of pituitary gland,Y,,,,,12,,
1408,D353,Benign neoplasm of craniopharyngeal duct,Y,,,,,12,,
1409,D354,Benign neoplasm of pineal gland,Y,,,,,12,,
1410,D420,Neoplasm of uncertain behavior of cerebral meninges,Y,,,,,12,,
1411,D421,Neoplasm of uncertain behavior of spinal meninges,Y,,,,,12,,
1412,D429,"Neoplasm of uncertain behavior of meninges, unspecified",Y,,,,,12,,
1413,D430,"Neoplasm of uncertain behavior of brain, supratentorial",Y,,,,,12,,
1414,D431,"Neoplasm of uncertain behavior of brain, infratentorial",Y,,,,,12,,
1415,D432,"Neoplasm of uncertain behavior of brain, unspecified",Y,,,,,12,,
1416,D433,Neoplasm of uncertain behavior of cranial nerves,Y,,,,,12,,
1417,D434,Neoplasm of uncertain behavior of spinal cord,Y,,,,,12,,
1418,D438,Neoplasm of uncertain behavior of other specified parts of central nervous system,Y,,,,,12,,
1419,D439,"Neoplasm of uncertain behavior of central nervous system, unspecified",Y,,,,,12,,
1420,D443,Neoplasm of uncertain behavior of pituitary gland,Y,,,,,12,,
1421,D444,Neoplasm of uncertain behavior of craniopharyngeal duct,Y,,,,,12,,
1422,D445,Neoplasm of uncertain behavior of pineal gland,Y,,,,,12,,
1423,D446,Neoplasm of uncertain behavior of carotid body,Y,,,,,12,,
1424,D447,Neoplasm of uncertain behavior of aortic body and other paraganglia,Y,,,,,12,,
1425,D45,Polycythemia vera,Y,,,,,75,,
1426,D460,"Refractory anemia without ring sideroblasts, so stated",Y,,,,,67,,
1427,D461,Refractory anemia with ring sideroblasts,Y,,,,,67,,
1428,D4620,"Refractory anemia with excess of blasts, unspecified",Y,,,,,67,,
1429,D4621,Refractory anemia with excess of blasts 1,Y,,,,,67,,
1430,D4622,Refractory anemia with excess of blasts 2,Y,,,,,67,,
1431,D464,"Refractory anemia, unspecified",Y,,,,,67,,
1432,D469,"Myelodysplastic syndrome, unspecified",Y,,,,,67,,
1433,D46A,Refractory cytopenia with multilineage dysplasia,Y,,,,,67,,
1434,D46B,Refractory cytopenia with multilineage dysplasia and ring sideroblasts,Y,,,,,67,,
1435,D46C,Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality,Y,,,,,67,,
1436,D46Z,Other myelodysplastic syndromes,Y,,,,,67,,
1437,D471,Chronic myeloproliferative disease,Y,,,,,75,,
1438,D473,Essential (hemorrhagic) thrombocythemia,Y,,,,,75,,
1439,D474,Osteomyelofibrosis,Y,,,,,67,,
1440,D479,"Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified",Y,,,,,75,,
1441,D47Z1,Post-transplant lymphoproliferative disorder (PTLD),Y,,,,,67,,
1442,D47Z9,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue",Y,,,,,75,,
1443,D496,Neoplasm of unspecified behavior of brain,Y,,,,,12,,
1444,D560,Alpha thalassemia,Y,,,,,71,,
1445,D561,Beta thalassemia,Y,,,,,71,,
1446,D565,Hemoglobin E-beta thalassemia,Y,,,,,71,,
1447,D5700,"Hb-SS disease with crisis, unspecified",Y,,,,,70,,
1448,D5701,Hb-SS disease with acute chest syndrome,Y,,,,,70,,
1449,D5702,Hb-SS disease with splenic sequestration,Y,,,,,70,,
1450,D571,Sickle-cell disease without crisis,Y,,,,,70,,
1451,D590,Drug-induced autoimmune hemolytic anemia,Y,,,,,69,,
1452,D591,Other autoimmune hemolytic anemias,Y,,,,,69,,
1453,D592,Drug-induced nonautoimmune hemolytic anemia,Y,,,,,69,,
1454,D593,Hemolytic-uremic syndrome,Y,,,,,69,,
1455,D594,Other nonautoimmune hemolytic anemias,Y,,,,,69,,
1456,D595,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],Y,,,,,69,,
1457,D596,Hemoglobinuria due to hemolysis from other external causes,Y,,,,,69,,
1458,D598,Other acquired hemolytic anemias,Y,,,,,69,,
1459,D599,"Acquired hemolytic anemia, unspecified",Y,,,,,69,,
1460,D600,Chronic acquired pure red cell aplasia,Y,,,,,68,,
1461,D601,Transient acquired pure red cell aplasia,Y,,,,,68,,
1462,D608,Other acquired pure red cell aplasias,Y,,,,,68,,
1463,D609,"Acquired pure red cell aplasia, unspecified",Y,,,,,68,,
1464,D6101,Constitutional (pure) red blood cell aplasia,Y,,,,,68,,
1465,D6109,Other constitutional aplastic anemia,Y,,,,,68,,
1466,D611,Drug-induced aplastic anemia,Y,,,,,68,,
1467,D612,Aplastic anemia due to other external agents,Y,,,,,68,,
1468,D613,Idiopathic aplastic anemia,Y,,,,,68,,
1469,D6182,Myelophthisis,Y,,,,,68,,
1470,D6189,Other specified aplastic anemias and other bone marrow failure syndromes,Y,,,,,68,,
1471,D619,"Aplastic anemia, unspecified",Y,,,,,68,,
1472,D640,Hereditary sideroblastic anemia,Y,,,,,75,,
1473,D641,Secondary sideroblastic anemia due to disease,Y,,,,,75,,
1474,D642,Secondary sideroblastic anemia due to drugs and toxins,Y,,,,,75,,
1475,D643,Other sideroblastic anemias,Y,,,,,75,,
1476,D65,Disseminated intravascular coagulation [defibrination syndrome],Y,,,,,75,,
1477,D66,Hereditary factor VIII deficiency,Y,,,,male,66,,
1478,D66,Hereditary factor VIII deficiency,Y,,,,female,75,,
1479,D67,Hereditary factor IX deficiency,Y,,,,male,66,,
1480,D67,Hereditary factor IX deficiency,Y,,,,female,75,,
1481,D680,Von Willebrand's disease,Y,,,,,75,,
1482,D681,Hereditary factor XI deficiency,Y,,,,,75,,
1483,D682,Hereditary deficiency of other clotting factors,Y,,,,,75,,
1484,D68311,Acquired hemophilia,Y,,,,,75,,
1485,D68312,Antiphospholipid antibody with hemorrhagic disorder,Y,,,,,75,,
1486,D68318,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors",Y,,,,,75,,
1487,D6832,Hemorrhagic disorder due to extrinsic circulating anticoagulants,Y,,,,,75,,
1488,D684,Acquired coagulation factor deficiency,Y,,,,,75,,
1489,D6851,Activated protein C resistance,Y,,,,,75,,
1490,D6852,Prothrombin gene mutation,Y,,,,,75,,
1491,D6859,Other primary thrombophilia,Y,,,,,75,,
1492,D6861,Antiphospholipid syndrome,Y,,,,,75,,
1493,D6862,Lupus anticoagulant syndrome,Y,,,,,75,,
1494,D6869,Other thrombophilia,Y,,,,,75,,
1495,D688,Other specified coagulation defects,Y,,,,,75,,
1496,D689,"Coagulation defect, unspecified",Y,,,,,75,,
1497,D691,Qualitative platelet defects,Y,,,,,75,,
1498,D693,Immune thrombocytopenic purpura,Y,,,,,75,,
1499,D6941,Evans syndrome,Y,,,,,75,,
1500,D6942,Congenital and hereditary thrombocytopenia purpura,Y,,,,,75,,
1501,D6949,Other primary thrombocytopenia,Y,,,,,75,,
1502,D700,Congenital agranulocytosis,Y,,,,,74,,
1503,D704,Cyclic neutropenia,Y,,,,,74,,
1504,D71,Functional disorders of polymorphonuclear neutrophils,Y,,,,,74,,
1505,D720,Genetic anomalies of leukocytes,Y,,,,,74,,
1506,D7581,Myelofibrosis,Y,,,,,67,,
1507,D7582,Heparin induced thrombocytopenia (HIT),Y,,,,,75,,
1508,D761,Hemophagocytic lymphohistiocytosis,Y,,,,,74,,
1509,D762,"Hemophagocytic syndrome, infection-associated",Y,,,,,74,,
1510,D763,Other histiocytosis syndromes,Y,,,,,74,,
1511,D800,Hereditary hypogammaglobulinemia,Y,,,,,74,,
1512,D801,Nonfamilial hypogammaglobulinemia,Y,,,,,74,,
1513,D802,Selective deficiency of immunoglobulin A [IgA],Y,,,,,74,,
1514,D803,Selective deficiency of immunoglobulin G [IgG] subclasses,Y,,,,,74,,
1515,D804,Selective deficiency of immunoglobulin M [IgM],Y,,,,,74,,
1516,D805,Immunodeficiency with increased immunoglobulin M [IgM],Y,,,,,74,,
1517,D806,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia,Y,,,,,74,,
1518,D807,Transient hypogammaglobulinemia of infancy,Y,age = 0,,,,74,,
1519,D808,Other immunodeficiencies with predominantly antibody defects,Y,,,,,74,,
1520,D809,"Immunodeficiency with predominantly antibody defects, unspecified",Y,,,,,74,,
1521,D810,Severe combined immunodeficiency [SCID] with reticular dysgenesis,Y,,,,,73,,
1522,D811,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,Y,,,,,73,,
1523,D812,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers,Y,,,,,73,,
1524,D813,Adenosine deaminase [ADA] deficiency,Y,,,,,73,,
1525,D814,Nezelof's syndrome,Y,,,,,73,,
1526,D815,Purine nucleoside phosphorylase [PNP] deficiency,Y,,,,,73,,
1527,D816,Major histocompatibility complex class I deficiency,Y,,,,,73,,
1528,D817,Major histocompatibility complex class II deficiency,Y,,,,,73,,
1529,D8189,Other combined immunodeficiencies,Y,,,,,73,,
1530,D819,"Combined immunodeficiency, unspecified",Y,,,,,73,,
1531,D820,Wiskott-Aldrich syndrome,Y,,,,,73,,
1532,D821,Di George's syndrome,Y,,,,,73,,
1533,D822,Immunodeficiency with short-limbed stature,Y,,,,,74,,
1534,D823,Immunodeficiency following hereditary defective response to Epstein-Barr virus,Y,,,,,74,,
1535,D824,Hyperimmunoglobulin E [IgE] syndrome,Y,,,,,74,,
1536,D828,Immunodeficiency associated with other specified major defects,Y,,,,,74,,
1537,D829,"Immunodeficiency associated with major defect, unspecified",Y,,,,,74,,
1538,D830,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,Y,,,,,74,,
1539,D831,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders,Y,,,,,73,,
1540,D832,Common variable immunodeficiency with autoantibodies to B- or T-cells,Y,,,,,74,,
1541,D838,Other common variable immunodeficiencies,Y,,,,,74,,
1542,D839,"Common variable immunodeficiency, unspecified",Y,,,,,74,,
1543,D840,Lymphocyte function antigen-1 [LFA-1] defect,Y,,,,,74,,
1544,D841,Defects in the complement system,Y,,,,,29,,
1545,D848,Other specified immunodeficiencies,Y,,,,,74,,
1546,D849,"Immunodeficiency, unspecified",Y,,,,,74,,
1547,D860,Sarcoidosis of lung,Y,,,,,162,,
1548,D862,Sarcoidosis of lung with sarcoidosis of lymph nodes,Y,,,,,162,,
1549,D8681,Sarcoid meningitis,Y,,,,,4,,
1550,D8682,Multiple cranial nerve palsies in sarcoidosis,Y,,,,,115,,
1551,D8685,Sarcoid myocarditis,Y,,,,,135,,
1552,D893,Immune reconstitution syndrome,Y,,,,,74,,
1553,D89810,Acute graft-versus-host disease,Y,,,,,251,,
1554,D89811,Chronic graft-versus-host disease,Y,,,,,251,,
1555,D89812,Acute on chronic graft-versus-host disease,Y,,,,,251,,
1556,D89813,"Graft-versus-host disease, unspecified",Y,,,,,251,,
1557,D8982,Autoimmune lymphoproliferative syndrome [ALPS],Y,,,,,74,,
1558,D8989,"Other specified disorders involving the immune mechanism, not elsewhere classified",Y,,,,,74,,
1559,D899,"Disorder involving the immune mechanism, unspecified",Y,,,,,74,,
1560,E035,Myxedema coma,Y,,,,,30,,
1561,E0800,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),Y,,,,,19,,
1562,E0801,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,Y,,,,,19,,
1563,E0810,Diabetes mellitus due to underlying condition with ketoacidosis without coma,Y,,,,,19,,
1564,E0811,Diabetes mellitus due to underlying condition with ketoacidosis with coma,Y,,,,,19,,
1565,E0821,Diabetes mellitus due to underlying condition with diabetic nephropathy,Y,,,,,20,,
1566,E0822,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,Y,,,,,20,,
1567,E0829,Diabetes mellitus due to underlying condition with other diabetic kidney complication,Y,,,,,20,,
1568,E08311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,Y,,,,,20,,
1569,E08319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,Y,,,,,20,,
1570,E08321,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema,Y,,,,,20,,
1571,E08329,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema,Y,,,,,20,,
1572,E08331,Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema,Y,,,,,20,,
1573,E08339,Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema,Y,,,,,20,,
1574,E08341,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema,Y,,,,,20,,
1575,E08349,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema,Y,,,,,20,,
1576,E08351,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema,Y,,,,,20,,
1577,E08359,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema,Y,,,,,20,,
1578,E0836,Diabetes mellitus due to underlying condition with diabetic cataract,Y,,,,,20,,
1579,E0839,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,Y,,,,,20,,
1580,E0840,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",Y,,,,,20,,
1581,E0841,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,Y,,,,,20,,
1582,E0842,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,Y,,,,,20,,
1583,E0843,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,Y,,,,,20,,
1584,E0844,Diabetes mellitus due to underlying condition with diabetic amyotrophy,Y,,,,,20,,
1585,E0849,Diabetes mellitus due to underlying condition with other diabetic neurological complication,Y,,,,,20,,
1586,E0851,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,Y,,,,,20,,
1587,E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,Y,,,,,20,153,
1588,E0859,Diabetes mellitus due to underlying condition with other circulatory complications,Y,,,,,20,,
1589,E08610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,Y,,,,,20,,
1590,E08618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,Y,,,,,20,,
